old-entity,status,entity,notes
42100648,410,,
42100649,410,,
42100650,410,,
42100651,410,,
42100652,410,,
42100653,410,,
42100654,410,,
42100655,410,,
42100656,410,,
42100657,410,,
42100658,410,,
42100659,410,,
42100660,410,,
42100661,410,,
42100662,410,,
42100663,410,,
42100664,410,,
42100665,410,,
42100666,410,,
42100667,410,,
42100668,410,,
42100669,410,,
42100670,410,,
42100671,410,,
42100672,410,,
42100673,410,,
42100674,410,,
42100675,410,,
42100676,410,,
42100677,410,,
42100678,410,,
42100679,410,,
42100680,410,,
42100681,410,,
42100682,410,,
42100683,410,,
42100684,410,,
42100685,410,,
42100686,410,,
42100687,410,,
42100688,410,,
42100689,410,,
42100690,410,,
42100691,410,,
42100692,410,,
42100693,410,,
42100694,410,,
42100695,410,,
42100696,410,,
42100697,410,,
42100698,410,,
42100699,410,,
42100700,410,,
42100701,410,,
42100702,410,,
42100703,410,,
42100704,410,,
42100705,410,,
42100706,410,,
42100707,410,,
42100708,410,,
42100709,410,,
42100710,410,,
42100711,410,,
42100712,410,,
42100713,410,,
42100714,410,,
42100715,410,,
42100716,410,,
42100717,410,,
42100718,410,,
42100719,410,,
42100720,410,,
42100721,410,,
42100722,410,,
42100723,410,,
42100724,410,,
42100725,410,,
42100726,410,,
42100727,410,,
42100728,410,,
42100729,410,,
42100730,410,,
42100731,410,,
42100732,410,,
42100733,410,,
42100734,410,,
42100735,410,,
42100736,410,,
42100737,410,,
42100738,410,,
42100739,410,,
42100740,410,,
42100741,410,,
42100742,410,,
42100743,410,,
42100744,410,,
42100745,410,,
42100746,410,,
42100747,410,,
42100748,410,,
42100749,410,,
42100750,410,,
42100751,410,,
42100752,410,,
42100753,410,,
42100754,410,,
42100755,410,,
42100756,410,,
42100757,410,,
42100758,410,,
42100759,410,,
42100760,410,,
42100761,410,,
42100762,410,,
42100763,410,,
42100764,410,,
42100765,410,,
42100766,410,,
42100767,410,,
42100768,410,,
42100769,410,,
42100770,410,,
42100771,410,,
42100772,410,,
42100773,410,,
42100774,410,,
42100775,410,,
42100776,410,,
42100777,410,,
42100778,410,,
42100779,410,,
42100780,410,,
42100781,410,,
42100782,410,,
42100783,410,,
42100784,410,,
42100785,410,,
42100786,410,,
42100787,410,,
42100788,410,,
42100789,410,,
42100790,410,,
42100791,410,,
42100792,410,,
42100793,410,,
42100794,410,,
42100795,410,,
42100796,410,,
42100797,410,,
42100798,410,,
42100799,410,,
42100800,410,,
42100801,410,,
42100802,410,,
42100803,410,,
42100804,410,,
42100805,410,,
42100806,410,,
42100807,410,,
42100808,410,,
42100809,410,,
42100810,410,,
42100811,410,,
42100812,410,,
42100813,410,,
42100814,410,,
42100815,410,,
42100816,410,,
42100817,410,,
42100818,410,,
42100819,410,,
42100820,410,,
42100821,410,,
42100822,410,,
42100823,410,,
42100824,410,,
42100825,410,,
42100826,410,,
42100827,410,,
42100828,410,,
42100829,410,,
42100830,410,,
42100831,410,,
42100832,410,,
42100833,410,,
42100834,410,,
42100835,410,,
42100836,410,,
42100837,410,,
42100838,410,,
42100839,410,,
42100840,410,,
42100841,410,,
42100842,410,,
42100843,410,,
42100844,410,,
42100845,410,,
42100846,410,,
42100847,410,,
42100848,410,,
42100849,410,,
42100850,410,,
42100851,410,,
42100852,410,,
42100853,410,,
42100854,410,,
42100855,410,,
42100856,410,,
42100857,410,,
42100858,410,,
42100859,410,,
42100860,410,,
42100861,410,,
42100862,410,,
42100863,410,,
42100864,410,,
42100865,410,,
42100866,410,,
42100867,410,,
42100868,410,,
42100869,410,,
42100870,410,,
42100871,410,,
42100872,410,,
42100873,410,,
42100874,410,,
42100875,410,,
42100876,410,,
42100877,410,,
42100878,410,,
42100879,410,,
42100880,410,,
42100881,410,,
42100882,410,,
42100883,410,,
42100884,410,,
42100885,410,,
42100886,410,,
42100887,410,,
42100888,410,,
42100889,410,,
42100890,410,,
42100891,410,,
42100892,410,,
42100893,410,,
42100894,410,,
42100895,410,,
42100896,410,,
42100897,410,,
42100898,410,,
42100899,410,,
42100900,410,,
42100901,410,,
42100902,410,,
42100903,410,,
42100904,410,,
42100905,410,,
42100906,410,,
42100907,410,,
42100908,410,,
42100909,410,,
42100910,410,,
42100911,410,,
42100912,410,,
42100913,410,,
42100914,410,,
42100915,410,,
42100916,410,,
42100917,410,,
42100918,410,,
42100919,410,,
42100920,410,,
42100921,410,,
42100922,410,,
42100923,410,,
42100924,410,,
42100925,410,,
42100926,410,,
42100927,410,,
42100928,410,,
42100929,410,,
42100930,410,,
42100931,410,,
42100932,410,,
42100933,410,,
42100934,410,,
42100935,410,,
42100936,410,,
42100937,410,,
42100938,410,,
42100939,410,,
42100940,410,,
42100941,410,,
42100942,410,,
42100943,410,,
42100944,410,,
42100945,410,,
42100946,410,,
42100947,410,,
42100948,410,,
42100949,410,,
42100950,410,,
42100951,410,,
42100952,410,,
42100953,410,,
42100954,410,,
42100955,410,,
42100956,410,,
42100957,410,,
42100958,410,,
42100959,410,,
42100960,410,,
42100961,410,,
42100962,410,,
42100963,410,,
42100964,410,,
42100965,410,,
42100966,410,,
42100967,410,,
42100968,410,,
42100969,410,,
42100970,410,,
42100971,410,,
42100972,410,,
42100973,410,,
42100974,410,,
42100975,410,,
42100976,410,,
42100977,410,,
42100978,410,,
42100979,410,,
42100980,410,,
42100981,410,,
42100982,410,,
42100983,410,,
42100984,410,,
42100985,410,,
42100986,410,,
42100987,410,,
42100988,410,,
42100989,410,,
42100990,410,,
42100991,410,,
42100992,410,,
42100993,410,,
42100994,410,,
42100995,410,,
42100996,410,,
42100997,410,,
42100998,410,,
42100999,410,,
